favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter Web Client,"Desta vez, Jair Bolsonaro tortura Jean Wyllys na Comissão de Direitos Humanos da Câmara. http://t.co/j4aNj92fiG",,False,Fri May 03 18:31:21 +0000 2013,20,330389131098202113
10,Twitter Web Client,COMUNIZAÇÃO DO BRASIL: A propaganda comunista diz q a medicina cubana é d melhor qualidade. PATIFES! http://t.co/QrYlbVzdta,,False,Wed May 08 11:09:48 +0000 2013,82,332089946959667200
4,Twitter Web Client,"Após manifestações populares, deputado do PSOL chama povo de ignorante e estimula o vandalismo. http://t.co/6tNMsz28Et",,False,Fri Jun 21 16:41:13 +0000 2013,31,348118418345562112
0,Twitter Web Client,Bolsonaro aciona Justiça contra importação de médicos cubanos ao Brasil. http://t.co/0Oyjo8yctQ,,False,Wed Jul 17 19:44:47 +0000 2013,17,357586700593135616
0,Twitter Web Client,Jornal O Globo: A verdade sobre a pesca artesanal de Bolsonaro em Angra começando a aparecer. http://t.co/N6GVfpSITe,,False,Tue May 21 11:00:55 +0000 2013,4,336798756039192576
21,Twitter Web Client,"Ex- marido d Dilma conta como assaltava caminhões d carga, bancos e roubava armas, c/ sua ex-esposa. http://t.co/yMIZHIS6Ej",,False,Wed Oct 09 01:15:07 +0000 2013,130,387748025281421313
2,Twitter Web Client,@FlavioBolsonaro é acionado por MP ao expor foto d menor estuprador em seu site. http://t.co/uf8NVJ3EXc,FlavioBolsonaro,False,Thu Sep 19 17:45:32 +0000 2013,3,380749513071144960
1,Twitter for iPhone,O Q VC Ñ SABIA: Eleições d melhores deputados do site Congresso em Foco são suspeitosas. http://t.co/xu1ZI9O3hd,,False,Mon Jul 15 01:24:54 +0000 2013,7,356585127268192256
7,Twitter Web Client,NOVO: Governo impõe cartilha comunista em livros didáticos e insiste em médicos cubanos no Brasil. http://t.co/JOvrYqbXaU,,False,Thu Aug 08 15:37:24 +0000 2013,48,365496975753355264
2,Twitter Web Client,"Congresso em Foco diz q Bolsonaro ñ participa d possíveis votados em eleição, pq o considera homofóbico. http://t.co/b9C2UbSrcU",,False,Thu Sep 05 16:09:18 +0000 2013,4,375651863980277760
0,Twitter Web Client,"Bolsonaro cria Projeto d cotas p/ deputados negrosm irritando demagogos. ""Se é bom p/ o povo é bom p/ o Congresso"". http://t.co/1NNTCPXDqe",,False,Tue May 14 16:18:54 +0000 2013,23,334342063615262722
2,Twitter Web Client,Família Bolsonaro apresenta projetos d lei proibindo Estado e Município d participarem do Programa Maus Médicos (PT). http://t.co/edCNAaSxRZ,,False,Tue Aug 20 19:43:56 +0000 2013,16,369907673015152640
4,Twitter Web Client,"ORGULHO: Filho de Bolsonaro entrega homenagem à policiais que caçaram traficante ""Matemático"". http://t.co/iTsKSbUSsr",,False,Wed May 29 19:31:36 +0000 2013,23,339826374485348352
0,Twitter Web Client,"Em entrevista em 2012, Bolsonaro já era CONTRA aumento das passagens, e hj CONTRA infiltrados partidários q depredam. http://t.co/dSeQFJFVqD",,False,Mon Jun 17 21:05:18 +0000 2013,2,346735326867361792
3,Twitter Web Client,Bolsonaro é entrevistado no Programa Palavra Aberta: A ideologia cubana e os médicos no Brasil. http://t.co/vXJsoJXUn0,,False,Wed Sep 11 18:43:39 +0000 2013,9,377865036439367681
1,Twitter for iPhone,Estou agora ao vivo na Redetv no programa Morning Show.,,False,Fri Jul 12 11:40:58 +0000 2013,5,355653003098853376
0,Twitter for iPhone,"@MarceloTas me admira o sr. ser repórter e passar a notícia adiante s/ conhecimento. Caso queira ser justo, veja. http://t.co/JteV7sTQbG",MarceloTas,False,Thu May 16 21:33:56 +0000 2013,5,335146122551111680
3,Twitter for iPhone,Bolsonaro desafia pelegos da OAB após ameaça d mais um processo d cassação. http://t.co/foYEJovsSY,,False,Mon Jul 08 12:20:26 +0000 2013,20,354213386499784705
0,Twitter Web Client,"Decreto mal feito impossibilita pesca artesanal, navegação e banho d mar em quase toda Angra dos Reis. Entenda. http://t.co/jDXVMmzs4N",,False,Thu May 16 11:32:06 +0000 2013,1,334994665243828225
